PID,QuestionID,Text,Domain,Subtheme,Codes,QuoteCandidate,Notes
P01,Q7_explain,"Most tasks pay below minimum wage when you factor in the time it takes to complete them carefully. Payment is inconsistent—some tasks pay fairly for the effort, but many underpay or require extra unpaid work like qualifications or reviews.",Compensation & Economic Security,Low pay rates,below_minimum_wage; inconsistent_payment; effort_pay_mismatch; unpaid_work; unpaid_qualifications,Y,Manually coded
P01,Q9_followup,"It happens occasionally. Sometimes tasks are rejected without explanation or feedback. A few platforms offer an appeal process, but it's slow and rarely favors the worker. The lack of transparency makes it hard to improve or feel secure in the work.",Transparency & QA,General transparency issues,feedback_issues,N,Systematically coded
P01,Q10_effects,"I've seen graphic images involving violence and offensive text content, including hate speech and harassment. It can be mentally draining and sometimes lingers after the task is done. Most platforms don't provide clear warnings or emotional support—you're often exposed without preparation, and there's no real way to opt out without risking income.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; hate_speech; mental_impact; content_warnings; support_available,N,Systematically coded
P01,Q11_describe,"Most platforms provide minimal information about how tasks are reviewed or why certain submissions are rejected. Payment rules are vague, and sometimes task instructions are unclear or change without notice. There's little explanation about how our data is used or how quality is judged. The lack of clear feedback or appeal processes makes it feel like a black box—you're doing the work, but you don’t know how it’s being evaluated or where it ends up.",Transparency & QA,Data usage transparency,unclear_processes; feedback_issues; black_box_process; clear_processes,Y,Manually coded
P01,Q12_challenges,"The biggest challenges include unfair and unpredictable pay, frequent task rejections without clear reasons, lack of transparency about how work is evaluated, and exposure to disturbing content without adequate support. There’s also emotional strain from the repetitive nature of the work and pressure to work quickly, which can affect quality and well-being. Platforms often lack proper communication and meaningful feedback.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay; inconsistent_payment,Y,Manually coded
P01,Q13_improvements,"Fair, transparent, and stable payment that reflects the actual time and effort involved is essential. Clear, consistent guidelines and honest feedback on task performance would help workers improve and feel valued. Platforms should provide better support for mental health, including warnings and opt-out options for disturbing content. Improved communication channels and an effective appeals process for rejected tasks would also increase trust and fairness.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; stable_fair_pay; time_effort_reflection,Y,Manually coded
P02,Q7_explain,The pay is stable and fair,Compensation & Economic Security,Positive compensation experience,stable_fair_pay,N,Manually coded
P02,Q11_describe,The system is very clear as it awaits review for ratings,Transparency & QA,Positive transparency experience,clear_processes,N,Manually coded
P02,Q12_challenges,it is just the pressure which is manageable,Task Design & Time Pressure,Time pressure and constraints,work_pressure,N,Manually coded
P02,Q13_improvements,Already the platform is fair,Compensation & Economic Security,Positive compensation experience,,N,Manually coded
P03,Q7_explain,the tasks are usually very quick and simple,Compensation & Economic Security,General compensation issues,,N,Manually coded
