PID,QuestionID,Domain,Subtheme,Codes,Text
P01,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; stable_fair_pay; time_effort_reflection,"Fair, transparent, and stable payment that reflects the actual time and effort involved is essential. Clear, consistent guidelines and honest feedback on task performance would help workers improve and feel valued. Platforms should provide better support for mental health, including warnings and opt-out options for disturbing content. Improved communication channels and an effective appeals process for rejected tasks would also increase trust and fairness."
P02,Q13_improvements,Compensation & Economic Security,Positive compensation experience,,Already the platform is fair
P03,Q13_improvements,Transparency & QA,Data usage transparency,unclear_processes,"being sent links to the final or published study, in academic cases. if surveys are helping corporations, it should be clear which ones."
P04,Q13_improvements,Compensation & Economic Security,General compensation issues,,increasing the amount of pay
P05,Q13_improvements,Transparency & QA,Data usage transparency,unclear_processes,"TRASPARENT RESERCHERS, BECAUSE SOME RESEARCHERS CHOOSE TO COLLECT DATA AND REJECT SUBMISSIONS AND NOT PAY"
P06,Q13_improvements,Compensation & Economic Security,General compensation issues,,better pay
P07,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,More consistent work opportunities and higher pay are the only things I can think of. Communication of the rules has always been generally good and transparent.
P08,Q13_improvements,Task Design & Time Pressure,Task design challenges,time_constraints,"Work to be made available at times when I am free and to be completed at my leisure with a set deadline, rather than needed to be completed as soon as it is made available otherwise it will not be there later."
P09,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,Platforms should ensure wages are proportional to task difficulty and time required. A tiered payment system based on complexity would help
P10,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,"i need fair payment, the other time i got 70 images to annotate for a fee of $1"
P11,Q13_improvements,Compensation & Economic Security,General compensation issues,,The pay for tasks should be reconsidered.
P12,Q13_improvements,Support & Dispute Resolution,Support system challenges,help_available,An online bot to help
P13,Q13_improvements,Compensation & Economic Security,General compensation issues,,no idea
P14,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,"For Mechanical Turk, there should be a minimum payment per hour as in Prolific to unsure fairness."
P15,Q13_improvements,Compensation & Economic Security,General compensation issues,,Get more jobs of that type
P16,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,Obviously the renumeration because the amount paid often make people rush though the task thus producing substandard work.
P17,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,Compensation should be correspond to duration of tasks
P18,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,perhaps fair compensation and more time added to complete
P19,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,"higher pay rates, better support channels and more communication about how our work contributes would make data labeling fair"
P20,Q13_improvements,Task Design & Time Pressure,Task design challenges,time_constraints,notify every time tasks are available
P21,Q13_improvements,Task Design & Time Pressure,Task design challenges,time_constraints,adding multiple submission and add more places to the study
P22,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,Better compensation for longer tasks.
P23,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,Some researchers take too long to pay for the work done. payment should be done at most in 7 days.
P24,Q13_improvements,Compensation & Economic Security,Positive compensation experience,,I feel like Prolific is perfect.
P25,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,more payment would be appreciated.
P26,Q13_improvements,Content Exposure & Emotional Load,Disturbing content exposure,,There should be no disturbing content
P27,Q13_improvements,Support & Dispute Resolution,Support system challenges,help_available,I BELIEVE INTERACTIONS BETWEEN RESEARCHERS AND PARTICIPANTS WOULD BE VERY HELPFUL
P28,Q13_improvements,Support & Dispute Resolution,Support system challenges,help_available,"Treat us like workers, give us feedback that is helpful, if we do good work give us promotions and offer some kind of community.

Don't treat us like a number."
P29,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,"To make data labeling fairer, platforms should offer transparent, competitive pay tied to task complexity and clear guidelines to minimize errors and frustration. Providing content warnings, opt-out options for disturbing material, and mental health support would enhance sustainability and respect for workers. Open feedback channels and anti-bias training with diverse teams would ensure equitable, high-quality outcomes."
P30,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,For some tasks they need to pay fairly because they are too long
P31,Q13_improvements,Support & Dispute Resolution,Communication problems,communication_issues,The researchers should improve on communication
P32,Q13_improvements,Compensation & Economic Security,Low pay rates,,I wish the minimum pay rates would be increased
P33,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,I think better pay and being more responsive to messages would be helpful.
P34,Q13_improvements,Compensation & Economic Security,Positive compensation experience,,no
P35,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; stable_fair_pay; time_effort_reflection,"Clearer Guidelines and Support:

Platforms should offer more transparent and consistent rules for labeling tasks, with examples to clarify ambiguous cases.

Implementing quality checks or real-time feedback would help annotators understand where they may be going wrong and improve without feeling lost.

Fair Compensation:

Pay should be better aligned with the complexity and emotional toll of the work. Tasks requiring more time or cognitive effort should be paid more.

Instead of paying per task, offering hourly wages with a minimum rate could help make compensation more stable.

Offering bonuses for accurate or efficient work would also motivate high-quality performance while providing a fair pay structure.

Mental Health Resources:

Platforms should implement mental health support for workers, such as counseling or therapy services, especially for those dealing with disturbing content.

There could be warnings or filters for emotionally taxing tasks, and the option to “opt out” of certain types of content without penalty.

Transparency and Communication:

Platforms should provide more transparency about how tasks are used and how annotators’ work contributes to the bigger picture. Knowing the impact of their work can help people feel more valued.

Communication with workers could be more open. If a task is rejected or a mistake happens, workers should be given clear feedback and have the chance to appeal if necessary.

Workplace Community:

Fostering a community of annotators, perhaps through forums or chat groups, could help workers share insights, vent frustrations, and get tips. This would help reduce the isolation of remote, freelance data labeling jobs.

Better Task Selection:

Giving workers more choice over what kind of tasks they take on—perhaps based on the content or the complexity—would allow them to select work they feel more comfortable with or are more skilled at."
P36,Q13_improvements,Transparency & QA,General transparency issues,,"lear guidelines, fair and timely pay, better support for dealing with tough content, and a simple appeal process would make data labeling work fairer and more respectful. Improved communication and transparency would also help."
P37,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; stable_fair_pay; time_effort_reflection,"Clearer Guidelines and Support:

Platforms should offer more transparent and consistent rules for labeling tasks, with examples to clarify ambiguous cases.

Implementing quality checks or real-time feedback would help annotators understand where they may be going wrong and improve without feeling lost.

Fair Compensation:

Pay should be better aligned with the complexity and emotional toll of the work. Tasks requiring more time or cognitive effort should be paid more.

Instead of paying per task, offering hourly wages with a minimum rate could help make compensation more stable.

Offering bonuses for accurate or efficient work would also motivate high-quality performance while providing a fair pay structure.

Mental Health Resources:

Platforms should implement mental health support for workers, such as counseling or therapy services, especially for those dealing with disturbing content.

There could be warnings or filters for emotionally taxing tasks, and the option to “opt out” of certain types of content without penalty.

Transparency and Communication:

Platforms should provide more transparency about how tasks are used and how annotators’ work contributes to the bigger picture. Knowing the impact of their work can help people feel more valued.

Communication with workers could be more open. If a task is rejected or a mistake happens, workers should be given clear feedback and have the chance to appeal if necessary.

Workplace Community:

Fostering a community of annotators, perhaps through forums or chat groups, could help workers share insights, vent frustrations, and get tips. This would help reduce the isolation of remote, freelance data labeling jobs.

Better Task Selection:

Giving workers more choice over what kind of tasks they take on—perhaps based on the content or the complexity—would allow them to select work they feel more comfortable with or are more skilled at."
P38,Q13_improvements,Transparency & QA,General transparency issues,,"Platforms should be more transparent about how work is reviewed and pay is determined. Clear, timely feedback when tasks are rejected would help us improve and feel valued."
P39,Q13_improvements,Compensation & Economic Security,Positive compensation experience,,Implementing a transparent and fair payment structure th
P40,Q13_improvements,Compensation & Economic Security,Effort-pay mismatch,,"ensuring fair and consistent pay, providing clear and consistent instructions, offering opportunities for skill development, and promoting transparency in the work process"
P41,Q13_improvements,Compensation & Economic Security,Positive compensation experience,,feel free to suggest  no need changes
P42,Q13_improvements,Compensation & Economic Security,Positive compensation experience,,none
P43,Q13_improvements,Transparency & QA,General transparency issues,,"Data labeling work would be more fair and sustainable if platforms provided clearer guidelines, consistent feedback, and guaranteed minimum pay for time spent—even on rejected tasks. Improved communication, mental health support, and greater transparency around how annotations are used would also help workers feel more respected and valued."
