PID,QuestionID,Text,Domain,Subtheme,Codes,QuoteCandidate
P01,Q7_explain,"Most tasks pay below minimum wage when you factor in the time it takes to complete them carefully. Payment is inconsistent—some tasks pay fairly for the effort, but many underpay or require extra unpaid work like qualifications or reviews.",Compensation & Economic Security,Low pay rates,below_minimum_wage; inconsistent_payment; effort_pay_mismatch; unpaid_work; unpaid_qualifications,Y
P01,Q9_followup,"It happens occasionally. Sometimes tasks are rejected without explanation or feedback. A few platforms offer an appeal process, but it's slow and rarely favors the worker. The lack of transparency makes it hard to improve or feel secure in the work.",Transparency & QA,General transparency issues,feedback_issues,N
P01,Q10_effects,"I've seen graphic images involving violence and offensive text content, including hate speech and harassment. It can be mentally draining and sometimes lingers after the task is done. Most platforms don't provide clear warnings or emotional support—you're often exposed without preparation, and there's no real way to opt out without risking income.",Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; hate_speech; mental_impact; content_warnings; support_available,N
P01,Q11_describe,"Most platforms provide minimal information about how tasks are reviewed or why certain submissions are rejected. Payment rules are vague, and sometimes task instructions are unclear or change without notice. There's little explanation about how our data is used or how quality is judged. The lack of clear feedback or appeal processes makes it feel like a black box—you're doing the work, but you don’t know how it’s being evaluated or where it ends up.",Transparency & QA,Data usage transparency,unclear_processes; feedback_issues; black_box_process; clear_processes,Y
P01,Q12_challenges,"The biggest challenges include unfair and unpredictable pay, frequent task rejections without clear reasons, lack of transparency about how work is evaluated, and exposure to disturbing content without adequate support. There’s also emotional strain from the repetitive nature of the work and pressure to work quickly, which can affect quality and well-being. Platforms often lack proper communication and meaningful feedback.",Compensation & Economic Security,Effort-pay mismatch,unfair_pay; inconsistent_payment,Y
P02,Q7_explain,The pay is stable and fair,Compensation & Economic Security,Positive compensation experience,stable_fair_pay,N
P02,Q11_describe,The system is very clear as it awaits review for ratings,Transparency & QA,Positive transparency experience,clear_processes,N
P02,Q12_challenges,it is just the pressure which is manageable,Task Design & Time Pressure,Time pressure and constraints,work_pressure,N
P03,Q7_explain,the tasks are usually very quick and simple,Compensation & Economic Security,Positive compensation experience,,N
P03,Q9_followup,the survey was unfairly rejecting participants based on attention checks that were not allowed under the platform's rules,Compensation & Economic Security,Effort-pay mismatch,unfair_pay,Y
P03,Q10_effects,"I was warned, the survey included discussions of drug use and had a link to a support line",Content Exposure & Emotional Load,Support system challenges,support_issues,N
P03,Q11_describe,some of the reviews take a very long time to process very short tasks,Transparency & QA,General transparency issues,,N
P03,Q12_challenges,it is sometimes unclear what the data is being used for,Transparency & QA,Data usage transparency,unclear_processes; clear_processes,N
P04,Q7_explain,it is a good pay,Compensation & Economic Security,Positive compensation experience,,N
P04,Q9_followup,i had technical issues on my end.,Platform Reliability & Access,Technical reliability issues,technical_issues,N
P04,Q10_effects,graphic .The platform also gave warnings,Content Exposure & Emotional Load,Disturbing content exposure,disturbing_content; content_warnings,N
P04,Q11_describe,the acceptance is fair and the rating system is good.,Transparency & QA,Positive transparency experience,clear_processes,N
P04,Q12_challenges,sometime there is pressure to some timed task,Task Design & Time Pressure,Time pressure and constraints,work_pressure; time_constraints,N
P05,Q7_explain,According to the time i spend doing the work i feel fairly compensated,Compensation & Economic Security,Positive compensation experience,time_effort_reflection,N
P05,Q11_describe,I do tasks willingly knowing exactly how much I would be paid,Transparency & QA,Positive transparency experience,clear_processes,N
P05,Q12_challenges,I have never had any problems,Compensation & Economic Security,Positive compensation experience,,N
P06,Q7_explain,I dont accept the tasks because the work is too much for little pay,Compensation & Economic Security,Effort-pay mismatch,,N
P06,Q12_challenges,drawn out work with no time table,Task Design & Time Pressure,Task design challenges,time_constraints,N
P07,Q7_explain,Estimates are typically inaccurate for how long particular tasks take to complete. Even the stated pay per task is roughly minimum wage or less in a lot of cases.,Compensation & Economic Security,Low pay rates,below_minimum_wage,Y
P07,Q10_effects,"I recall some surveys on jury trials with mildly harmful content. But the platform always gives warnings on the pre-screen summary page, so there are no surprises.",Content Exposure & Emotional Load,Disturbing content exposure,content_warnings,N
P07,Q11_describe,"The platform is generally very good in explaining how tasks need to be completed in order to be accepted. And it's also generally good at explaining payment rules, though the pay rates are usually around minimum wage or less. The platform does pay almost immediately when a cash out is requested.",Transparency & QA,Positive transparency experience,clear_processes,Y
P07,Q12_challenges,"There have been really no challenges or ethical concerns that I have encountered as a data annotator, other than generally low pay rates.",Compensation & Economic Security,Low pay rates,,Y
P08,Q7_explain,Payment varies by requestor but generally feels fair for the task being required for completion,Compensation & Economic Security,Positive compensation experience,,N
P08,Q10_effects,I have encountered some content that people might regard as harmful such as hate speech or sexually explicit material but I do not tend to find I have much of an emotional reaction to this.  The platform usually gives adequate warnings if such content is likely to be present,Content Exposure & Emotional Load,Disturbing content exposure,hate_speech; content_warnings,N
P08,Q11_describe,There is little transparency as to how the data will be used and the nature of Prolific only tends to give an outcome for the individual task.  It is possible you may be paid for a task but then removed from a white label group but the mechanics of this are not transparent at all - the work either appears on your dashboard or it does not!,Transparency & QA,Data usage transparency,unclear_processes,Y
P08,Q12_challenges,"I have not really experienced any significant challenges to the work, mainly it is a little dull and mundane so maintaining focus can be issue on batch tasks.  I have had no ethical concerns at all.",Task Design & Time Pressure,Task design challenges,work_pressure,Y
P09,Q7_explain,"I feel fairly compensated because the payment reflects the time and effort required for each task. The wage varies appropriately based on task complexity, more complex tasks offer higher pay, which makes sense and feels balanced.",Compensation & Economic Security,Positive compensation experience,time_effort_reflection,Y
P09,Q11_describe,"Task acceptance was straightforward, each task type was explained clearly before I made my workload decisions, and the expectations were well-defined. The interface made it easy to understand how many tasks I could choose at each wage rate, which helped in making informed decisions.",Transparency & QA,Positive transparency experience,clear_processes,Y
P09,Q12_challenges,"As a data annotator, one of the biggest challenges is the lack of fair pay relative to the effort required , especially on crowd-sourced platforms. Some tasks are time-consuming or mentally taxing, such as labeling complex images or transcribing unclear audio—but the compensation doesn’t always reflect that effort.",Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch; time_effort_reflection,Y
P10,Q7_explain,some task requires a lot of effort as compared to the compensation offered,Compensation & Economic Security,Effort-pay mismatch,,N
P10,Q9_followup,"They said they did not find the data in their system, the platform refused to rectify it but i had proof",Platform Reliability & Access,Platform access problems,platform_issues,N
P10,Q10_effects,"human operation,no warnings were given",Content Exposure & Emotional Load,Disturbing content exposure,content_warnings,N
P10,Q11_describe,"rating systems is not transparent, we get rejections that reseachers fail to justify",Transparency & QA,Opaque rejection processes,rejection_issues; rating_issues,N
P10,Q12_challenges,payments issues,Compensation & Economic Security,General compensation issues,,N
P11,Q7_explain,"$3 for a task that takes 35 minutes with content that needs you to be very attentive, is too low.",Compensation & Economic Security,General compensation issues,,N
P11,Q11_describe,They provide very detailed instructions and how you can contact researchers to get better feedback.,Transparency & QA,Positive transparency experience,clear_processes,N
P11,Q12_challenges,The payment is just not fair for the amount of work I do.,Compensation & Economic Security,Effort-pay mismatch,,N
P12,Q7_explain,Always could get more,Compensation & Economic Security,General compensation issues,,N
P12,Q9_followup,Time out,Task Design & Time Pressure,Task design challenges,time_constraints,N
P12,Q10_effects,Triggering and made me feel sad,Content Exposure & Emotional Load,,,N
P12,Q11_describe,Payment seems poor at timed,Compensation & Economic Security,Low pay rates,,N
P12,Q12_challenges,Platform doesn’t care if something times out and your spend hours doing tasks,Task Design & Time Pressure,Task design challenges,time_constraints,N
P13,Q7_explain,stable,Compensation & Economic Security,Positive compensation experience,,N
P13,Q12_challenges,sometimes stressful,Content Exposure & Emotional Load,Mental and emotional impact,work_stress,N
P14,Q7_explain,The tasks in Mechanical Turk is not fairly compensated.,Compensation & Economic Security,Effort-pay mismatch,unfair_pay,N
P14,Q10_effects,"I don't remember, it has been a while.",Content Exposure & Emotional Load,,,N
P14,Q12_challenges,"Unfair payment, underestimated required time",Compensation & Economic Security,Effort-pay mismatch,unfair_pay,N
P15,Q7_explain,For beer money,Compensation & Economic Security,Low pay rates,,N
P15,Q11_describe,Prolific always paid well and on time,Transparency & QA,Positive transparency experience,clear_processes,N
P15,Q12_challenges,I did not have any ethical concern,Compensation & Economic Security,Positive compensation experience,,N
P16,Q7_explain,i feel the amount of time spent for my output to be quality is not commensurate with the pay,Compensation & Economic Security,Effort-pay mismatch,,N
P16,Q11_describe,Most of the platforms are very transparent as regarding the pay per hour. we just choose to work with that regardless,Transparency & QA,Positive transparency experience,transparency_positive,Y
P16,Q12_challenges,violation of regulatory rules,Compensation & Economic Security,General compensation issues,,N
P17,Q7_explain,Many tasks takes long durtion to complete and does pay less amount than needed,Compensation & Economic Security,Effort-pay mismatch,effort_pay_mismatch,N
P17,Q10_effects,Violent content nudity,Content Exposure & Emotional Load,Disturbing content exposure,violent_content,N
P17,Q11_describe,The studies provide clear instructions on the participation requirements and creteria,Transparency & QA,Positive transparency experience,clear_processes,N
P17,Q12_challenges,Technical issues in the studies and errors by developers,Platform Reliability & Access,Technical reliability issues,technical_issues; system_errors,N
P18,Q7_explain,I feel that it requires more focus and time therefore it should be compensated accordingly,Compensation & Economic Security,Effort-pay mismatch,,N
P18,Q9_followup,"Researcher asked a trick question and I was rejected for that, tried communicating and appealing and no feedback on that",Support & Dispute Resolution,Appeal process issues,appeal_process,N
P18,Q10_effects,I have not,Content Exposure & Emotional Load,,,N
P18,Q11_describe,The study rules and method of compensation i quite clear just sometimes a study is underpaying,Transparency & QA,Positive transparency experience,clear_processes,N
P18,Q12_challenges,It is sometimes mentally challenging,Content Exposure & Emotional Load,Mental and emotional impact,mental_impact,N
